idx,ch,sisdr_in,snr_in,sir_in,sar_in,sisdr,snr,sir,sar,sisdr_impr,snr_impr,sir_impr,sar_impr
9,0,8.555826,8.544678,12.31192,11.177655,6.2770324,2.3246253,18.203184,6.6302924,-2.2787938,-6.2200527,5.891264,-4.547363
9,1,1.7207993,1.6769371,4.711439,6.0152597,4.236998,2.2674792,19.33833,4.4235687,2.5161986,0.5905421,14.62689,-1.591691
9,2,6.0934587,6.0278745,9.007352,9.716496,4.6269546,2.7755117,17.772856,4.9146256,-1.4665041,-3.2523627,8.765504,-4.801871
10,0,8.958389,8.945634,9.232474,21.583311,11.5062895,3.0022402,34.24292,11.531114,2.5479002,-5.9433937,25.010445,-10.052197
10,1,7.4623775,7.472368,7.8747673,18.547928,16.463144,2.8417482,29.636509,16.682209,9.000767,-4.6306195,21.761742,-1.8657188
10,2,-0.8457088,-0.8358437,-0.41316396,12.608107,5.0621266,3.4074256,29.21962,5.0840244,5.9078355,4.2432694,29.632784,-7.524082
11,0,2.7372005,2.7378144,3.0552187,15.994564,3.7806153,3.7822413,29.935596,3.7955592,1.0434148,1.0444269,26.880379,-12.199005
11,1,11.028042,11.021776,16.294487,12.661783,14.639677,2.6163638,26.67142,14.929932,3.6116352,-8.405413,10.376932,2.2681484
11,2,2.1552753,2.1346362,4.1176944,7.971744,-2.2951224,1.5657198,22.966795,-2.2602963,-4.4503975,-0.5689163,18.8491,-10.23204
12,0,10.448111,10.418482,13.046689,14.12346,7.891893,2.198424,20.627064,8.16706,-2.5562177,-8.2200575,7.5803747,-5.9564
12,1,0.25826764,0.08150886,1.9631135,7.282568,5.532741,2.1892724,24.123814,5.610006,5.274473,2.1077635,22.1607,-1.6725621
12,2,4.3320017,4.3463335,7.086957,8.38936,6.8102856,3.0277202,25.3257,6.88457,2.478284,-1.3186133,18.238743,-1.5047903
13,0,12.167816,12.163742,13.092413,19.548265,3.804916,2.7870326,23.50321,3.8710623,-8.3629,-9.376709,10.410797,-15.677203
13,1,3.6687996,3.6439867,7.2044554,6.967242,4.5110707,2.5656245,30.59369,4.525576,0.8422711,-1.0783622,23.389236,-2.4416656
13,2,-2.1236558,-2.1387198,4.0374904,0.52463984,4.3094373,2.2824545,25.375366,4.3561273,6.433093,4.421174,21.337875,3.8314874
14,0,11.061092,11.055526,11.638175,20.399992,9.190588,3.0963469,39.932255,9.194693,-1.8705044,-7.959179,28.294079,-11.205299
14,1,4.752037,4.7550683,6.2093787,11.134577,13.158017,2.6110978,30.243399,13.247932,8.40598,-2.1439705,24.03402,2.1133556
14,2,-1.3133016,-1.2910798,2.2850997,3.1954618,9.125764,3.3984895,37.28208,9.133222,10.439066,4.6895695,34.996983,5.93776
15,0,9.8223095,9.832684,11.090162,16.113367,6.1429067,1.8961174,14.824654,6.9157686,-3.6794028,-7.9365664,3.7344913,-9.197598
15,1,2.070997,2.0951447,3.6523275,8.782581,8.922699,1.6136013,24.879103,9.04841,6.8517017,-0.48154342,21.226776,0.2658291
15,2,5.742516,5.770335,8.837493,9.203205,5.220074,3.5278704,21.520592,5.3535767,-0.52244186,-2.2424648,12.683099,-3.8496284
16,0,14.284872,14.279231,15.083416,22.165565,9.284719,4.230775,34.725674,9.298607,-5.0001526,-10.048456,19.642258,-12.866959
16,1,2.0796356,2.143827,4.5177207,7.06331,7.5346355,2.9701185,23.260849,7.6728578,5.455,0.82629156,18.743128,0.6095476
16,2,-0.40838742,-0.27950066,4.104777,2.9133666,2.0576785,2.0430768,21.325165,2.1412857,2.466066,2.3225775,17.220388,-0.7720809
17,0,11.750586,11.733675,12.480566,20.093838,7.7812743,1.5326136,13.142871,9.4802685,-3.9693112,-10.201061,0.6623049,-10.613569
17,1,1.2796754,1.2194778,2.385007,9.743043,-12.153463,-0.018205656,18.239067,-12.084835,-13.433139,-1.2376834,15.85406,-21.827877
17,2,2.677562,2.6085691,5.3342934,7.1880984,2.6731946,1.3989365,12.976049,3.311918,-0.0043673515,-1.2096326,7.641756,-3.8761804
18,0,9.645336,9.645811,9.864809,23.145039,7.7180963,4.7985897,38.7156,7.722135,-1.9272399,-4.8472214,28.85079,-15.422903
18,1,6.8443847,6.8636875,9.815055,10.325752,8.550478,0.67674905,18.504797,9.07401,1.7060933,-6.1869383,8.689742,-1.2517424
18,2,0.56862295,0.62993133,5.8031473,3.128657,-0.41802162,1.9654806,23.20195,-0.37838313,-0.98664457,1.3355492,17.398804,-3.5070403
19,0,10.658126,10.656625,11.444714,18.766598,7.5587983,3.3575175,32.669876,7.574553,-3.0993276,-7.2991076,21.225163,-11.192045
19,1,3.7309983,3.7173362,5.849275,8.869097,10.532568,2.8383088,27.501308,10.628448,6.80157,-0.87902737,21.652033,1.7593508
19,2,2.796544,2.7878711,7.0484133,5.624521,6.177861,2.0185637,18.44957,6.504829,3.3813171,-0.7693074,11.401156,0.88030815
20,0,11.865679,11.865572,13.610779,16.853792,15.296899,2.7597265,108.62497,15.296899,3.43122,-9.105845,95.01419,-1.5568933
20,1,2.9180386,2.936976,4.138571,10.442767,17.4105,2.6442993,33.99588,17.508627,14.492461,-0.2926767,29.85731,7.06586
20,2,0.84453213,0.8767501,1.7505981,10.318552,8.434551,5.1075892,45.597862,8.435508,7.590019,4.2308393,43.847263,-1.8830442
21,0,17.069914,17.073767,18.600836,22.400764,14.156591,2.4462981,29.332047,14.295598,-2.9133224,-14.627468,10.731211,-8.105166
21,1,-4.3559566,-4.201736,-3.7206593,9.563368,5.649631,1.5637853,25.441143,5.7078266,10.005588,5.765521,29.161802,-3.8555412
21,2,-1.2818772,-1.1980164,-0.5846078,10.318369,5.4467483,2.6156127,22.445948,5.5589514,6.7286253,3.8136292,23.030556,-4.7594175
22,0,11.45781,11.435662,12.084019,20.438583,10.340105,3.8082838,43.62845,10.342333,-1.1177053,-7.6273785,31.54443,-10.096251
22,1,3.0527854,3.0395756,4.226579,10.700474,9.824349,1.4695902,24.151035,10.004417,6.771564,-1.5699854,19.924456,-0.69605637
22,2,2.726623,2.678373,6.20292,6.249365,7.1202097,5.5315394,34.14128,7.1305156,4.3935866,2.8531663,27.938362,0.8811507
23,0,8.627063,8.605097,9.892813,15.022724,-1.31107,1.5106106,27.409302,-1.297356,-9.938133,-7.094486,17.516489,-16.32008
